Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM3025845,"SS2_15_0048_A1","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3749902",SRX3749902,"Kristian Pietras","Nov 23, 2018"
GSM3025846,"SS2_15_0048_A2","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3749903",SRX3749903,"Kristian Pietras","Nov 23, 2018"
GSM3025847,"SS2_15_0048_A3","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3749904",SRX3749904,"Kristian Pietras","Nov 23, 2018"
GSM3025848,"SS2_15_0048_A4","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3749905",SRX3749905,"Kristian Pietras","Nov 23, 2018"
GSM3025849,"SS2_15_0048_A5","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3749906",SRX3749906,"Kristian Pietras","Nov 23, 2018"
GSM3025850,"SS2_15_0048_A6","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3749907",SRX3749907,"Kristian Pietras","Nov 23, 2018"
GSM3025851,"SS2_15_0048_A7","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3749908",SRX3749908,"Kristian Pietras","Nov 23, 2018"
GSM3025852,"SS2_15_0048_A8","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3749909",SRX3749909,"Kristian Pietras","Nov 23, 2018"
GSM3025853,"SS2_15_0048_A9","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3749910",SRX3749910,"Kristian Pietras","Nov 23, 2018"
GSM3025854,"SS2_15_0048_A10","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3749901",SRX3749901,"Kristian Pietras","Nov 23, 2018"
GSM3025855,"SS2_15_0048_A11","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3749911",SRX3749911,"Kristian Pietras","Nov 23, 2018"
GSM3025856,"SS2_15_0048_A12","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3749912",SRX3749912,"Kristian Pietras","Nov 23, 2018"
GSM3025857,"SS2_15_0048_A13","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3749913",SRX3749913,"Kristian Pietras","Nov 23, 2018"
